doc_id,item,category,amount,price,discount
R3_2_1_7817,Чашка,Посуда,3,325.09,31.18
R3_2_2_1247,Плед,Текстиль,4,604.29,0.0
R3_2_3_3675,Многоцелевой очиститель,Бытовая химия,1,667.93,0.0
R3_2_3_3675,Обеденная тарелка,Посуда,6,941.24,0.0
R3_2_3_3675,Кофейная пара,Посуда,7,975.82,0.0
R3_2_4_2863,Кофейная пара,Посуда,1,163.45,0.0
R3_2_4_2863,Кухонный нож,Кухонная утварь,7,64.27,2.51
R3_2_4_2863,Коврик,Текстиль,8,611.06,240.04
R3_2_5_5196,Пластиковый контейнер,Хранение,6,813.02,0.0
R3_2_5_5196,Кастрюля,Кухонная утварь,9,123.16,0.0
R3_2_5_5196,Настенный крючок,Хранение,10,821.88,0.0
R3_2_5_5196,Резиновые перчатки,Средства для уборки,3,65.48,10.87
R3_2_6_3580,Набор для уборки ковров,Средства для уборки,2,735.17,133.08
R3_2_7_2888,Коврик,Текстиль,2,1189.21,0.0
R3_2_7_2888,Кухонный нож,Кухонная утварь,6,728.41,0.0
R3_2_8_2306,Контейнер для круп,Хранение,5,726.22,0.0
R3_2_8_2306,Сервировочное блюдо,Посуда,6,951.95,0.0
R3_2_8_2306,Вакуумный пакет,Хранение,10,1098.4,0.0
R3_2_9_3604,Обеденная тарелка,Посуда,1,640.71,0.0
R3_2_9_3604,Вакуумный пакет,Хранение,5,348.57,49.8
R3_2_10_7639,Органайзер для ящиков,Хранение,5,807.48,288.29
R3_2_10_7639,Салатник,Посуда,4,422.52,156.62
R3_2_10_7639,Губки для посуды,Средства для уборки,10,1124.82,160.79
